congress_num,election_year,state,st_abbrev,name
115,2016,Alabama,AL,1. Bradley Byrne (R)
115,2016,Alabama,AL,2. Martha Roby (R)
115,2016,Alabama,AL,3. Mike Rogers (R)
115,2016,Alabama,AL,4. Robert Aderholt (R)
115,2016,Alabama,AL,5. Mo Brooks (R)
115,2016,Alabama,AL,6. Gary Palmer (R)
115,2016,Alabama,AL,7. Terri Sewell (D)
115,2016,Alaska,AK,0. Don Young (R)
115,2016,Arizona,AZ,1. Tom O'Halleran (D)
115,2016,Arizona,AZ,2. Martha McSally (R)
115,2016,Arizona,AZ,3. Raúl Grijalva (D)
115,2016,Arizona,AZ,4. Paul Gosar (R)
115,2016,Arizona,AZ,5. Andy Biggs (R)
115,2016,Arizona,AZ,6. David Schweikert (R)
115,2016,Arizona,AZ,7. Ruben Gallego (D)
115,2016,Arizona,AZ,8. Trent Franks (R) 
115,2016,Arizona,AZ,9. Kyrsten Sinema (D)
115,2016,Arkansas,AR,1. Rick Crawford (R)
115,2016,Arkansas,AR,2. French Hill (R)
115,2016,Arkansas,AR,3. Steve Womack (R)
115,2016,Arkansas,AR,4. Bruce Westerman (R)
115,2016,California,CA,1. Doug LaMalfa (R)
115,2016,California,CA,2. Jared Huffman (D)
115,2016,California,CA,3. John Garamendi (D)
115,2016,California,CA,4. Tom McClintock (R)
115,2016,California,CA,5. Mike Thompson (D)
115,2016,California,CA,6. Doris Matsui (D)
115,2016,California,CA,7. Ami Bera (D)
115,2016,California,CA,8. Paul Cook (R)
115,2016,California,CA,9. Jerry McNerney (D)
115,2016,California,CA,10. Jeff Denham (R)
115,2016,California,CA,11. Mark DeSaulnier (D)
115,2016,California,CA,12. Nancy Pelosi (D)
115,2016,California,CA,13. Barbara Lee (D)
115,2016,California,CA,14. Jackie Speier (D)
115,2016,California,CA,15. Eric Swalwell (D)
115,2016,California,CA,16. Jim Costa (D)
115,2016,California,CA,17. Ro Khanna (D)
115,2016,California,CA,18. Anna Eshoo (D)
115,2016,California,CA,19. Zoe Lofgren (D)
115,2016,California,CA,20. Jimmy Panetta (D)
115,2016,California,CA,21. David Valadao (R)
115,2016,California,CA,22. Devin Nunes (R)
115,2016,California,CA,23. Kevin McCarthy (R)
115,2016,California,CA,24. Salud Carbajal (D)
115,2016,California,CA,25. Steve Knight (R)
115,2016,California,CA,26. Julia Brownley (D)
115,2016,California,CA,27. Judy Chu (D)
