congress_num,election_year,state,st_abbrev,name
116,2018,West Virginia,WV,1. David McKinley (R)
116,2018,West Virginia,WV,2. Alex Mooney (R)
116,2018,West Virginia,WV,3. Carol Miller (R)
116,2018,Wisconsin,WI,1. Bryan Steil (R)
116,2018,Wisconsin,WI,2. Mark Pocan (D)
116,2018,Wisconsin,WI,3. Ron Kind (D)
116,2018,Wisconsin,WI,4. Gwen Moore (D)
116,2018,Wisconsin,WI,5. Jim Sensenbrenner (R)
116,2018,Wisconsin,WI,6. Glenn Grothman (R)
116,2018,Wisconsin,WI,7. Sean Duffy (R)
116,2018,Wisconsin,WI,8. Mike Gallagher (R)
116,2018,Wyoming,WY,0. Liz Cheney (R)
