st_abbrev,district,state_dist,party,total_receipt,total_disbursement,cash_on_hand_cop,debt_owed_by_committee,total_contribution,total_loan,offsets_to_operating_expenditure,other_receipts,operating_expenditure,total_loan_Repayment,total_contribution_refund,other_disbursements,net_contribution,net_operating_expenditure,cash_on_hand_bop,debt_owe_to_committee,Total_population,Male,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,One_race,White,Black_or_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_other_race,Hispanic_or_Latino_of_any_race,State_of_residence,Different_state1,Born_in_PR__US_Is_areas_or_abroad_to_US_parents,American,Arab,Czech,Danish,Dutch,English,French_except_Basque,French_Canadian,German,Greek,Hungarian,Irish,Italian,Lithuanian,Norwegian,Polish,Portuguese,Russian,ScotchIrish,Scottish,Slovak,Subsaharan_African,Swedish,Swiss,Ukrainian,Welsh,West_Indian_excluding_Hispanic_origin_groups,Civilian_veterans,Total_civilian_noninstitutionalized_population,With_a_disability1,Same_house,Same_county,Same_state,Abroad,Unemployed,Armed_Forces,Not_in_labor_force,Car__truck__or_van__drove_alone,Public_transportation_excluding_taxicab,Walked,Other_means,Worked_at_home,Mean_travel_time_to_work_minutes,Management__business__science__and_arts_occupations,Service_occupations,Sales_and_office_occupations,Natural_resources__construction__and_maintenance_occupations,Production__transportation__and_material_moving_occupations,Agriculture__forestry__fishing_and_hunting__and_mining,Construction1,Manufacturing1,Wholesale_trade1,Retail_trade1,Transportation_and_warehousing__and_utilities1,Information1,Finance_and_insurance__and_real_estate_and_rental_and_leasing,Prof__scientific__and_mngmnt__and_admin_and_waste_mngmnt_ser,Educational_services__and_health_care_and_social_assistance,Arts_Entmt_and_recreation_and_accommodation_and_food_services,Other_services__except_public_administration,Public_administration,Private_wage_and_salary_workers,Government_workers,Selfemployed_in_own_not_incorporated_business_workers,Unpaid_family_workers,Total_housing_units,Rental_vacancy_rate,Owneroccupied,Average_household_size_of_owneroccupied_unit,Average_household_size_of_renteroccupied_unit,Moved_in_2015_or_later,Moved_in_2010_to_2014,Moved_in_2000_to_2009,Moved_in_1990_to_1999,Moved_in_1980_to_1989,Moved_in_1979_and_earlier,Less_than_50_000,50_000_to_99_999,100_000_to_149_999a,150_000_to_199_999,200_000_to_299_999,300_000_to_499_999,500_000_to_999_999,1_000_000_or_more,Median_dollars1,Housing_units_with_a_mortgage,Median_dollars2,Median_dollars3,Occupied_units_paying_rent,Median_dollars4,No_rent_paid,Less_than_10_000,10_000_to_14_999,15_000_to_24_999,25_000_to_34_999,35_000_to_49_999,50_000_to_74_999,75_000_to_99_999,100_000_to_149_999b,150_000_to_199_000,200_000_or_more,With_private_health_insurance,With_public_coverage,No_health_insurance_coverage1,All_families,Less_than_9th_grade,9th_to_12th_grade__no_diploma,High_school_graduate_includes_equivalency,Some_college__no_degree,Associate_s_degree,Bachelor_s_degree,Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Percent_bachelor_s_degree_or_higher,Total_for_all_sectors2,Agriculture__forestry__fishing_and_hunting2,Mining__quarrying__and_oil_and_gas_extraction2,Utilities2,Construction3,Manufacturing3,Wholesale_trade3,Retail_trade3,Transportation_and_warehousing2,Information3,Finance_and_insurance2,Real_estate_and_rental_and_leasing2,Professional__scientific__and_technical_services2,Management_of_companies_and_enterprises2,Admin_and_support_and_waste_mngmt_and_remediation_services2,Educational_services2,Health_care_and_social_assistance2,Arts__entertainment__and_recreation2,Accommodation_and_food_services2,Other_services_except_public_administration2,Industries_not_classified2
FL,27,FL_27,DEM,3659880,3200730,459152,495000,2795240,745000,241.32,0,2908110,250000,7618.8,35000,2787620,2907870,0,0,755809,364683,42579,35593,36372,39122,40667,111410,103688,112351,52379,43510,71300,41747,25091,739752,649876,41739,2373,11022,108,34634,553359,224125,103438,21691,29909,5062,470,447,3095,14170,13049,728,24529,1991,2128,18466,24483,1132,1599,8143,3729,7772,1328,3271,474,1465,1722,710,884,467,11247,14365,752554,81279,643994,64235,7092,19987,18274,143,233889,265301,27152,13541,13884,28280,30.4,159062,69398,92636,30883,29426,1439,28112,13215,12678,36784,23523,6977,40307,62136,80856,43995,21578,9805,317031,30519,33461,394,337651,9.3,129663,2.95,2.55,89101,73216,50446,30153,15493,13242,1641,2458,4615,9548,23184,37840,33466,16911,395000,73350,2248,762,139420,1349,2568,23173,13654,29949,25600,32040,40671,28344,33397,17224,27599,457125,236106,98165,12.2,43205,32060,126191,79407,51265,133944,95404,86.6,40.8,19424578,486,1426,NULL,544742,112659,625059,1447217,579565,545419,3241007,483321,3823580,885677,761146,642067,3001782,494296,1700629,458825,3795
FL,3,FL_03,REP,818106,596302,351599,0,816140,0,1966.74,0,540566,0,15733.7,40002,800406,538599,129795,0,739130,365064,40390,40830,43914,52669,65186,99619,87637,92430,46644,46193,74519,35808,13291,712277,558581,115769,2608,23755,587,10977,76277,367866,296170,24177,34006,1661,2074,1490,7210,71082,15823,4077,79621,1697,3238,70274,32279,1085,4826,15652,3507,3626,9547,14886,704,11495,5851,778,1020,5519,5054,70085,716458,105470,605494,52484,53437,5972,19231,1424,264438,249005,6011,6870,8817,19309,26.3,124480,65784,76777,27060,27053,4912,21862,16678,4727,41077,16610,3931,18964,31920,93998,34052,16874,15549,244781,61137,14865,371,316412,13,175532,2.67,2.57,84186,58393,62157,33353,16046,12694,20881,31626,32355,29823,35598,19295,5007,947,154000,97805,1188,345,86030,926,5267,25072,13724,32045,26292,41392,49827,30528,26492,12009,9448,475910,254219,78226,12.4,15143,46398,157787,99057,48294,74244,55218,87.6,26.1,8032976,23177,13491,93000,460429,659219,344020,976131,330082,248996,378023,139315,595585,101810,308001,96730,2512598,60038,414863,276860,608
FL,4,FL_04,REP,807644,350790,458850,51500,801054,6500,89.76,0,319580,15000,0,6210,801054,319491,1995.94,0,800494,393207,46698,47713,44133,45867,49047,116774,99185,110758,62302,48134,81738,35855,12290,777331,650103,75962,1279,37706,173,12108,70678,324909,370615,19869,92373,7163,3338,2228,7377,76791,14125,5346,90502,4519,4032,86037,47268,1111,5739,18664,2472,7727,11967,16834,2522,2246,5614,1401,2257,4621,8247,71363,784270,92192,646135,72878,33830,6863,18919,11017,226999,327834,742,7623,6498,28406,25.2,177427,61525,96905,30970,30101,1795,29828,24258,8899,42701,21807,5372,46324,54575,82583,44852,18463,15471,331911,44936,19562,519,349054,6.5,206653,2.65,2.41,108266,76151,67676,30326,14260,8233,7501,12721,20028,29331,56285,55462,20003,5322,256100,143577,1555,501,92640,1161,5619,14359,8405,22979,23568,40536,53813,41623,55239,21682,22708,584100,215891,79336,6.4,12751,29310,132958,108448,56799,147731,79039,92.6,40,16502693,27828,1845,24085,926458,960689,1021136,1193483,774724,423426,2755627,329437,1533545,1086415,1024461,206848,2676583,153520,878714,502876,993
FL,5,FL_05,DEM,613388,588881,76827.9,74457.9,612420,0,968.91,0,556881,32000,0,0,612420,555912,52434.4,0,729175,354135,44917,50833,45903,48730,68469,115804,91866,84395,44158,40222,57547,25704,10627,710819,324724,347173,1908,24174,83,12757,57427,445654,215258,12692,35669,2844,684,868,6786,34208,10212,2125,39873,1485,1119,39079,19174,666,4036,7614,776,2112,5913,9276,128,18591,3548,1218,692,2857,17525,50570,702797,106794,569069,95967,35209,4166,27791,2216,232315,248267,8857,6323,9041,11107,25.3,95468,71605,88412,27428,35452,2591,20751,15046,4347,44831,21437,4738,23727,31674,69627,33865,18366,27365,242817,60620,14613,315,317297,7.3,138131,2.61,2.55,101009,56178,53927,28143,13130,17521,17501,33986,31160,25615,20117,7420,1414,918,125900,83975,1118,344,125052,894,6725,29388,14941,35580,35766,42768,51500,30111,20165,5520,4169,412560,279615,86892,16.3,17957,43671,158341,106844,43361,66881,33268,86.9,21.3,9979470,7605,9704,42525,791822,735809,592597,1015413,624618,660221,893332,232379,855474,340947,602280,166046,1407448,307671,364162,328472,945
FL,6,FL_06,REP,1866980,1605900,261078,380000,1286170,555000,0,0,1441130,155000,9665,100,1276510,1441130,0,0,764500,373004,33504,36557,38363,42866,40330,83272,80217,94838,58533,61586,109543,63263,21628,751442,632897,78757,3479,14730,83,21496,97548,263578,410408,32629,53335,2230,3578,1544,8075,64831,24652,6250,83356,1926,6767,81124,55983,1124,4483,18844,4525,6255,7253,12937,1310,2417,6896,1653,1826,3578,6444,77773,756868,132480,643874,51924,32062,5524,16188,360,313229,255636,3331,3014,5115,20646,26,103440,65831,83528,31410,33255,2193,26135,19465,6761,41245,17595,8265,22193,34933,69503,39766,16803,12607,263376,36060,17734,294,370136,4.4,219339,2.38,2.6,93736,74384,75419,39618,16851,8123,18397,23911,32495,44999,57670,29899,9001,2967,187100,115915,1225,422,84496,1044,4296,19457,17626,37814,36296,47816,58203,35338,36119,10415,9047,460386,332431,86136,10.1,17243,40777,185464,133006,60419,83559,52412,89.9,23.7,6177725,2668,2693,55184,465759,494774,243709,898548,115196,135422,346438,126510,365120,93417,254606,235309,1483404,127501,461205,269886,376
FL,7,FL_07,DEM,3046540,2305960,752599,0,3005080,0,2445.1,0,2264990,16000,10971.2,14000,2994110,2262550,12025.4,0,772969,376359,39788,41711,43313,55118,60828,124195,103684,101936,50779,44867,61989,28862,15899,748256,592201,80419,2311,34825,208,38292,200055,325481,287524,55638,54991,7217,988,1782,6393,50228,18162,4075,71362,2890,2652,61255,46848,1667,4300,16898,4400,7041,6292,13443,1275,6477,5038,1352,2303,5021,14988,35551,768090,78951,647268,53656,37165,9091,16942,527,230883,310893,4235,5746,5421,24299,27.1,178354,61643,97235,23602,30152,772,21958,20598,8713,42550,15353,10977,36966,64346,91723,43764,18920,14346,325390,42954,21584,1058,322729,9.1,172998,2.68,2.45,108680,67106,57656,30866,15231,9664,6548,12940,17689,29825,49522,39235,14419,2820,238700,120005,1472,511,113099,1176,3106,21839,9664,24813,24035,36658,54219,36490,43622,18014,19849,555301,211080,65947,8.9,10349,18143,104174,94424,84386,147036,73699,94.6,41.5,16649625,3250,905,65356,1119894,402860,585382,1287100,151044,1039036,1821072,312094,2490124,1395380,1226247,455055,2883320,269668,597248,543903,687
FL,8,FL_08,REP,878420,777338,566873,0,876749,0,730.3,940.4,713558,0,1780,62000,874969,712828,465791,0,756993,367322,35089,34066,41425,42793,40175,78470,75243,98095,68340,55767,101707,57983,27840,735914,630082,71454,3075,16727,1146,13430,81923,244260,423824,23583,75814,6009,2911,3110,8778,69976,25637,7826,94261,6170,3629,89832,55668,4392,6048,23884,2290,4901,8503,18771,1445,2916,8220,988,2903,5562,18583,82686,751143,129998,646247,56826,18763,4490,15209,1231,300591,252841,1551,2388,9881,23952,24.8,123434,59233,77877,31473,28179,2012,22367,31472,7517,45943,13383,4587,16744,40820,66898,38116,13851,16486,260423,39566,19649,558,364154,13.8,218091,2.59,2.53,84410,70072,73350,37067,16287,10155,13839,26471,30917,39999,49375,41303,13043,3144,197100,118922,1310,444,69736,989,3514,14420,15184,30006,33049,45678,56249,30868,36902,14913,14072,498073,311873,74734,6.8,14693,33138,161317,116707,68337,104346,64907,91.5,30,9226697,11556,1287,37401,564933,1591456,358249,991992,271305,240309,387683,135164,1131558,193451,510774,173939,1744834,144549,461930,273556,771
FL,9,FL_09,DEM,1412660,1355930,85993.2,0,1411660,0,0,1000,1262290,0,3237.46,90400.5,1408420,1262290,29265.1,0,868945,426500,53003,51347,61583,59120,55195,117737,119014,112318,51511,45409,82933,45502,14273,832483,632876,117943,3650,24569,839,52606,365228,272544,322127,123080,81764,5373,1109,998,4515,39875,14305,3105,53476,1765,1900,44559,32932,556,3748,13019,3804,2889,5498,9197,956,6080,4070,751,576,3785,37671,51157,861529,126687,741589,50753,29019,16301,19846,383,280808,309493,3187,3682,6061,19767,31.4,120975,91659,98322,36425,43088,4658,28076,16832,10176,50943,24797,5195,22700,49991,69501,78582,17696,11322,337861,35714,15831,1063,362699,6.3,177869,3.13,3.16,96024,75862,63570,24293,9125,5109,15558,23344,22618,35224,50346,25466,4497,816,187700,112242,1339,410,91679,1120,4435,17447,12633,31889,29730,43085,50576,35931,32980,10009,9703,503558,324678,119983,11.3,33106,49806,170861,133129,63878,91492,46425,85.9,23.4,7103442,15196,6374,30560,479616,653525,262458,842792,585820,252592,453084,242639,264812,88506,229824,119362,1293665,220260,587077,474777,503
GA,1,GA_01,REP,1924730,1124580,1303680,0,1916290,0,4371.43,0,678636,250000,11262.5,184687,1905030,674264,503534,0,747334,366870,50920,49354,48792,48948,56468,113211,90522,93252,48544,41163,65795,29131,11234,726718,473783,218988,4410,12369,4757,12411,51310,410933,285647,13842,61778,1484,1490,1007,5250,49842,13707,2500,60297,1834,1568,73980,22815,1168,2789,9510,535,3534,9852,12427,846,7145,2658,548,592,2984,3897,68214,719235,108658,589200,67739,33558,5734,23622,15192,227407,268807,3700,9465,8460,11552,24.1,108269,67843,68791,30503,46055,3525,20750,33349,6652,35533,23853,5437,15259,30225,70123,38241,14062,24452,249027,52286,19524,624,325443,8,168281,2.62,2.61,94446,58466,60489,33562,14418,14728,18991,29428,33925,26734,30885,16985,8293,3040,152800,103953,1249,373,98985,933,8843,21897,13229,32392,24599,41954,49571,34962,35603,12515,9387,456182,244932,102091,12.5,15995,45082,144540,119158,43958,74860,49259,87.6,25.2,8921698,35192,5769,102972,436581,1912331,455972,889121,605082,136871,310475,129886,432603,243355,446939,183372,1550846,69173,649215,325415,528
GA,10,GA_10,REP,625838,534759,162636,0,625838,0,0,0,495909,0,1150,37700,624688,495909,71556.6,0,736838,359344,40540,51183,51832,61522,58817,90735,87358,97820,46963,42205,68769,30545,8549,715792,507062,181090,870,16644,40,10086,39544,477256,210455,10430,98391,2633,2036,903,4367,56606,11719,2307,53616,1178,2455,53472,16265,593,2185,8066,423,2148,8194,14048,573,10318,2965,585,505,2247,5247,40543,721618,95744,619447,47456,45967,1677,15711,752,242364,255923,2983,4711,4421,17864,30.3,112722,53338,73465,30818,52809,4724,22159,36883,9730,41629,20442,4123,16846,26950,75069,28899,15854,19844,245997,59678,16846,631,299899,5.8,174763,2.77,2.65,73735,54839,68684,34716,14065,13405,15663,23502,29469,34335,38425,24395,7055,1919,172100,111721,1289,388,79707,834,4974,20401,15129,27052,25141,33991,46074,32212,34465,14088,10891,505195,223357,73888,10.5,16499,43806,163249,89403,36190,72931,50866,87.2,26.2,5488133,37441,83244,76421,401677,895968,310678,683043,236978,87462,255039,102630,256140,56748,283878,67908,1067779,56032,323946,204423,698
GA,11,GA_11,REP,798920,479379,330469,0,796900,0,2019.71,0,472579,0,500,6300,796400,470560,10927.7,0,768968,377773,42981,46984,54463,55089,52218,112094,107366,113241,51759,40806,58759,24306,8902,745510,573682,126476,1065,24988,226,19073,86274,348146,314588,11627,73939,3260,1867,886,9453,93560,14021,1312,67806,2415,2512,79172,31126,913,3896,14360,2012,5453,13589,21145,1573,17611,3060,1744,2389,5744,14063,39061,762634,75497,641856,61124,38312,4564,16801,1060,190753,311284,3736,4817,6822,33991,32.7,178394,60513,97184,33701,34271,1366,35005,32785,15134,51180,18920,11981,33604,63906,73848,37600,18122,10612,339519,38403,25648,493,307580,4.4,187166,2.77,2.41,100057,69524,68184,30261,11362,7344,5644,8059,18617,35959,52341,41428,18687,6431,246300,135484,1543,433,97734,1173,1832,12072,8300,21098,20969,33739,51794,41778,48090,23130,25762,572186,170377,87584,6.5,17915,27012,109684,110872,37871,137929,75950,91.3,41.4,20587544,2060,14388,166000,1483377,1608202,1542590,1171543,410992,1025739,2427758,688594,2632543,2085591,1774611,243020,1869818,271556,691912,476121,1129
GA,12,GA_12,REP,1028410,920401,213402,1125000,1026340,0,2065.16,0,851991,0,0,68410,1026340,849926,105396,0,722937,355914,45767,50728,46563,54792,58919,96449,87800,89654,46602,43485,61931,30693,9554,701863,418046,254478,1902,11667,259,15511,46033,487790,189309,12727,62131,398,1177,666,4327,36625,9099,2342,39344,2517,514,42589,14065,0,1736,4225,427,860,7481,8886,0,5248,1273,511,348,3035,2455,57891,692712,106966,603525,56876,31180,3180,22642,10226,242072,245370,2186,5370,8727,8859,23.2,94768,59952,62314,33569,44347,6461,23487,30510,6064,32736,17799,4010,13614,25829,72860,29649,15270,16661,219234,59305,16229,182,303768,10.1,155267,2.81,2.75,69521,49449,58470,34068,15182,19793,27041,38030,29541,22878,22824,11529,3227,197,119600,82116,1133,349,84382,749,6834,23677,16527,32172,27845,35578,42765,27384,25026,9092,6417,437054,239704,94216,14.3,24494,53099,152042,91772,44758,61046,38957,83.4,21.5,8129608,47411,14297,409942,394102,1243484,354801,820278,301184,157190,301818,97095,676783,101647,333644,63468,2193509,52415,351716,214450,374
GA,13,GA_13,DEM,1035690,961049,431756,25930.2,1035120,0,573.32,3.32,937758,0,500,22790.8,1034620,937185,357111,0,752631,353722,53599,55270,57245,51998,44163,101975,111814,103233,47553,40795,56407,21048,7531,735933,234457,455970,659,20456,515,23876,82312,376653,282537,10221,46459,823,48,212,3326,27122,5373,477,26191,411,683,23331,8503,74,682,3629,636,799,3875,7307,227,27467,1204,342,125,1216,19726,44726,746515,76199,638539,42631,40154,2247,26681,859,185459,282052,7732,1895,7581,20230,32.1,120970,59172,91159,30286,58321,174,23540,28286,10114,38293,43630,10237,22905,39725,76356,30986,18418,17244,286233,53101,20304,270,289807,7.1,162433,2.82,2.75,78333,69285,68002,28927,11377,11377,7662,25921,41404,35204,33093,15075,3496,578,156500,122472,1249,383,102320,1011,2548,15872,9250,25301,28522,40138,52893,37837,36352,13020,8116,489435,225480,99851,10.4,19403,38569,144008,110955,42186,82991,52244,88.2,27.6,6935620,1149,7692,87511,624770,557006,766221,817529,471169,129281,196213,612204,200342,90117,356867,72007,1320489,55991,370645,198255,162
GA,14,GA_14,REP,1977430,879465,1977660,0,1859370,0,28820.3,7489.24,849021,0,3944.15,26500,1855430,820201,879702,0,716957,345778,44921,46775,53660,49411,46762,89181,95524,98457,45265,43435,63061,30057,10448,700592,612518,66692,1355,7042,200,12785,84797,425442,238339,4890,159017,918,290,2321,8086,71983,9882,726,52765,1928,446,67304,13372,0,3487,3994,151,878,8470,14940,0,5390,2411,746,153,2377,2001,40190,708256,95261,633690,37816,22804,1371,17922,502,218326,263495,762,6110,4523,11767,27.4,91628,48641,75908,36875,72203,4320,26089,70387,7124,37318,19358,5998,14136,23476,66296,24560,16032,10161,270078,39013,15610,554,285137,5.1,169730,2.73,2.79,62528,59460,67088,32542,17128,17141,16961,34495,39370,35048,27242,11672,3484,1458,142900,98811,1135,339,80223,757,5934,15313,15045,27843,30943,38358,49076,32862,30386,9628,6433,448427,233472,105048,11.1,32238,61358,164804,101500,34211,49770,31547,80.3,17.1,6472256,8995,8935,72035,319017,2114886,421911,618211,368546,94237,162387,55622,194843,285824,184536,82617,982379,26769,276553,193777,176
GA,2,GA_02,DEM,1080930,985871,293178,0,1080930,0,0,0,951200,0,0,34670.8,1080930,951200,198179,0,674100,326675,44291,45638,46110,52374,45074,93106,79637,79568,45863,42162,59800,30404,10073,657803,285379,351267,872,7737,426,12122,36369,497589,147380,7025,77022,1151,433,75,2059,24536,6368,952,25518,206,184,34422,7701,39,1316,2510,278,654,4515,6296,29,5147,541,203,210,1523,2930,41198,641700,103687,540993,64923,33682,3116,27855,10972,235397,209399,2676,3875,3029,11886,22.8,69025,54990,62879,26864,41348,8593,16046,29253,3418,33507,12531,3092,15220,17741,60103,23631,10890,21081,194090,47821,12835,360,302635,6.4,134932,2.6,2.59,76880,48011,51983,30338,15840,22547,27080,41040,23799,19837,13290,7213,1616,1057,99000,69278,1068,369,101849,717,8818,30088,20064,35210,29509,37448,38539,22752,20901,6029,5059,353038,271801,90918,20.1,22168,48410,154443,104974,35001,45276,30341,84,17.2,8092637,95046,14891,83960,341713,1276477,487147,656220,281011,125648,1280198,96443,407816,212625,316141,135625,1740932,25343,287537,226862,1002
GA,3,GA_03,REP,1182370,1019590,204905,0,1181870,0,500,0,851358,0,9635,158600,1172240,850858,42122.8,0,738066,361009,42705,44686,56038,52508,47853,87782,95968,106638,51284,44324,66157,30612,11511,721162,511544,180429,2442,15494,170,11083,45367,449912,232653,12682,128702,437,1537,1274,4174,55390,12053,1793,54642,665,1026,69793,15560,381,2779,8477,543,1583,10189,12426,351,11788,2877,438,508,4214,5381,52775,729299,97624,626957,46966,36730,3371,21548,1814,219359,276783,1564,3837,6139,15321,28.6,115086,54763,79534,33397,58615,1476,21428,50299,9250,36051,31869,6470,16460,34292,70931,27916,17412,17541,267598,53668,19626,503,297642,3.6,183923,2.77,2.45,76506,61424,70547,34578,14262,15601,12266,27522,33676,35275,37312,28677,8008,1187,169900,119843,1310,424,83864,904,5131,16835,12782,27551,26781,35296,48865,37411,38563,15486,13348,511168,224026,80829,10.9,16448,43724,147630,112278,37766,89249,47181,87.8,27.6,8444704,11450,9349,159876,589287,1851547,527012,923280,411936,185098,403408,89299,308524,237328,409200,72976,1552829,48439,391222,261202,1442
GA,4,GA_04,DEM,461015,404646,126384,6211.2,461015,0,0,0,357506,0,600,46540,460415,357506,70015.4,0,765854,359766,51573,53204,56095,53401,48740,103914,106510,104896,53856,45740,56820,22554,8551,738403,203164,461416,3604,37825,1403,30991,71950,374442,253527,9424,41942,4631,594,167,2226,25005,5481,839,25581,1151,429,20176,8324,53,1405,3578,278,2417,5626,7420,206,39262,1393,397,303,1467,31232,39591,760698,78341,662856,46704,27429,4975,25018,403,192744,271745,14125,3493,6924,24986,34.6,132067,61060,96579,28270,58191,945,21750,33012,9043,50648,27940,8988,23392,43274,87579,33627,18550,17419,306951,50201,18520,495,285964,4.6,157051,2.94,2.84,77182,61562,66194,35935,11245,9938,6712,21664,38211,38002,32724,14422,4550,766,162900,115662,1302,438,102262,1055,2743,14026,9208,24490,26938,36904,52905,38141,37115,11962,10367,466143,244055,115866,11.1,25722,34975,132482,112820,42383,91964,62495,87.9,30.7,5810605,586,3953,50548,663132,856207,422753,666853,285365,166956,152920,121819,299748,198016,347922,61575,985379,34876,289609,202020,368
GA,5,GA_05,DEM,3376240,1770000,1824330,0,3373430,0,2810.09,0,1159810,0,146384,463800,3227050,1157000,218185,0,784370,377807,49354,46695,43206,53336,73043,150732,103752,98794,39714,38560,54124,23330,9730,761695,250754,457063,1593,35180,51,17054,51551,423502,284903,7064,42936,2996,1357,1379,3208,35112,8866,1660,35672,3387,1530,38468,14327,501,2804,6966,684,4636,6697,9910,352,19593,3270,885,831,2398,9662,33101,773923,96104,607238,77283,53403,7317,29381,433,207936,260795,41584,16171,13537,24823,29.2,181829,66042,87695,18507,43564,764,15609,21592,8199,38313,32786,15071,26595,68248,83921,47790,21102,17647,327319,48686,21436,196,363768,7.5,133269,2.54,2.38,122833,78273,52136,21047,11584,17400,6576,20820,19274,17648,20983,23622,19163,5183,209800,90394,1532,472,166452,1065,3552,27573,15714,31912,31690,38548,52077,29891,36407,15395,24066,485198,246827,101443,14.7,19203,40077,126464,89329,31243,120915,91505,88.6,40.9,32891819,46,21135,NULL,916921,956496,1392647,989404,3779426,2625011,2709867,649114,4793034,4241721,1326716,1724241,3516567,438272,1369851,735103,1708
GA,6,GA_06,DEM,1803440,1238620,564822,628.03,1761390,5848.03,534.27,20.68,1227370,5220,6028.1,0,1755360,1226840,0,0,756389,368742,46152,49540,54189,46750,37296,108048,108325,114573,48985,48382,59673,24732,9744,727801,512219,101114,10803,85787,51,17827,101063,249734,328866,10171,54144,10959,2576,2686,7105,72495,15947,2692,77330,2666,2020,66916,29089,2109,4233,18146,2662,10983,12154,19102,1916,16485,6693,2635,4139,5137,9749,29798,754296,53482,643063,42063,30201,8626,16175,358,173437,295733,14467,3954,6947,41981,29.9,225921,47980,93067,20701,17246,639,21336,25768,15305,42455,13986,15351,44833,95190,61978,36448,21753,9873,349361,30098,24732,724,306443,7.1,182624,2.74,2.46,98178,63839,62703,36696,14957,8546,1786,3025,8666,13382,34182,70150,44707,6726,386800,134975,1979,648,100024,1335,2271,8660,4795,15071,16196,28398,46369,33387,51605,30018,50420,591137,143695,80140,4.4,18178,12156,67567,71288,29286,199812,124175,94.2,62,32962994,9000,9149,165544,882611,625222,2833863,1280999,661502,4494376,4248315,605190,5979052,4286435,2142168,392470,2810926,161424,730400,641905,2443
GA,7,GA_07,REP,1090330,924543,489243,0,1090320,0,9.9,0,790343,0,700,0,1089620,790333,323454,0,807492,397701,54761,60471,64660,58621,48882,101871,127696,123655,45908,38560,51795,24677,5935,781133,438984,165469,4063,114191,176,58250,161856,288602,296527,13926,53585,4397,1331,1729,4926,51011,10363,2684,55920,2131,1775,46064,19277,1835,3895,12365,705,6715,7624,14911,684,17366,3740,473,2502,3648,10110,33285,802029,57279,702674,42228,26078,6419,18329,580,192134,303666,5116,3957,3916,28196,34.2,170546,61391,100134,32997,37316,523,33435,34407,17211,49126,20626,13401,31034,65710,69459,36483,18494,12475,339154,35907,26004,1319,276835,7.9,184955,3.11,2.88,79392,65319,75554,30548,8898,3725,3513,3648,16406,37558,52255,51558,17795,2222,259100,142855,1592,475,NULL,1244,NULL,11795,5487,14733,20324,33287,46225,36215,45880,23429,26061,541818,184010,134659,7.5,28356,27119,111004,84768,47517,147299,74034,89.3,42.6,18217718,571,8820,58579,1534002,1609018,3043837,1453653,401935,1106210,1143931,269787,2133587,1410536,1154950,164159,1624228,109995,510243,478411,1266
GA,8,GA_08,REP,787578,580598,622286,0,787578,0,0,0,385148,0,1500,193950,786078,385148,415305,0,702262,346980,44845,44622,50023,51253,46576,90560,90734,89489,45516,41438,63894,32406,10906,687011,438414,219698,1868,10164,268,16599,44377,482849,179867,8600,120474,291,1072,687,2326,39951,6945,526,37300,1350,1181,48204,11021,488,1477,5624,354,561,5227,12033,17,5172,2237,277,79,2121,3576,53078,679671,92537,601774,45685,25643,2929,20423,4074,233589,249543,810,2950,3748,7134,22,97697,50840,73033,32857,39771,8791,16731,29613,7806,38359,15286,4466,13879,22307,67343,30955,13278,25384,218040,61373,14471,314,303091,7.3,162905,2.64,2.62,74612,51979,61972,33554,16873,18574,26265,40246,34044,27363,20534,10925,2859,669,120000,89335,1107,357,87526,760,7133,29166,15097,32423,28028,33265,45104,28878,29658,8785,7160,434204,236109,95711,14.6,20626,49559,156301,91012,40705,62174,44566,84.9,23,6282657,52965,43451,124999,324001,993294,307527,763388,292448,93589,365903,77692,393372,188652,312582,69328,1318138,30083,345277,185171,797
GA,9,GA_09,REP,1311900,611826,896351,0,1307600,0,2157.11,0,597443,0,2750,11632.6,1304850,595286,196278,0,755181,372640,42814,43473,52933,53719,45165,81708,91130,105019,54109,47409,83484,41174,13044,741798,662950,51911,1349,11371,52,14165,98669,458827,227571,6936,101573,623,322,922,6200,74873,15261,1526,62898,1096,2284,72957,18192,304,3905,8513,520,2656,14093,19425,839,4633,5516,1439,1129,4148,1295,49339,749008,113580,648950,43517,34435,1733,13932,379,250261,270899,854,4281,5928,17872,27.4,104622,58364,77499,38776,61993,5541,29135,53208,10658,42646,17330,5933,14010,30026,71712,30224,16944,13887,272935,45535,22338,446,334242,8.8,197623,2.8,2.89,66932,53646,74880,36690,14962,16243,17848,27433,31962,33253,39776,32816,12642,1893,178500,112659,1250,370,58800,772,6930,16368,12984,25096,27251,35802,51207,32379,37233,12115,12918,483200,258016,112932,10,35780,55465,162283,103918,37489,75395,46747,82.4,23.6,7616645,9692,29129,92424,447149,2085732,488995,774170,368778,117718,285423,63950,246208,185838,298860,115489,1211240,246142,328613,219942,1153
